0144,China Merchants Port Holdings Company Limited,http://www.cmport.com.hk
0145,The Hong Kong Building and Loan Agency Limited,http://www.hkbla.com.hk
0146,Tai Ping Carpets International Limited,http://www.irasia.com/listco/hk/taipingcarpets/index.htm
0147,International Business Settlement Holdings Limited,http://www.ibsettlement.com
0148,Kingboard Chemical Holdings Limited,http://www.kingboard.com
0149,China Agri-Products Exchange Limited,http://www.cnagri-products.com/index.php?option=com_content&view=article&id=95&Itemid=28&lang=en
0151,Want Want China Holdings Limited,http://www.want-want.com
0152,Shenzhen International Holdings Limited,http://www.szihl.com
0153,China Saite Group Company Limited,http://www.chinasaite.com.cn
0154,Beijing Enterprises Environment Group Limited,http://www.beeg.com.hk
0155,China Solar Energy Holdings Limited,http://www.chinasolar-energy.com
0156,Lippo China Resources Limited,http://www.lcr.com.hk
0157,Natural Beauty Bio-Technology Limited,http://www.nblife.com/ir
0158,Melbourne Enterprises Limited,http://www.irasia.com/listco/hk/melbourne/index.htm
0159,Brockman Mining Limited,http://www.irasia.com/listco/hk/wahnam
0160,Hon Kwok Land Investment Company Limited,http://www.honkwok.com.hk
0161,AVIC International Holdings Limited,http://www.avic161.com
0162,Century Ginwa Retail Holdings Limited,http://www.cgrh.com.hk
0163,Emperor International Holdings Limited,http://www.emperorint.com
0164,China Baoli Technologies Holdings Limited,http://www.aplushk.com/clients/00164chinabaoli/
0165,China Everbright Limited,http://www.everbright165.com
0166,New Times Energy Corporation Limited,http://www.nt-energy.com
0167,IDT International Limited,http://www.idthk.com
0168,Tsingtao Brewery Company Limited,http://stock.tsingtao.com.cn
0169,Wanda Hotel Development Company Limited,http://www.wanda-hotel.com.hk
0170,China Assets (Holdings) Limited,http://www.chinaassets.com
0171,Silver Grant International Industries Limited,http://www.silvergrant.com.hk
0172,Goldbond Group Holdings Limited,http://www.irasia.com/listco/hk/goldbondgroup/index.htm
0173,K. Wah International Holdings Limited,http://www.kwih.com
0174,Gemini Investments (Holdings) Limited,http://www.geminiinvestments.com.hk
0175,Geely Automobile Holdings Limited,http://www.geelyauto.com.hk
0176,United Pacific Industries Limited,http://www.irasia.com/listco/hk/upi/
0177,Jiangsu Expressway Company Limited,http://www.jsexpressway.com
0178,Sa Sa International Holdings Limited,http://www.sasa.com
0179,Johnson Electric Holdings Limited,http://www.johnsonelectric.com
0180,Kader Holdings Company Limited,http://www.kaderholdings.com
